column,mean,std
-8.23361,-0.3972087250949542,14.433787886805494
11.1202,0.5852272682446243,32.390486489403465
-1.4932,-0.05201422021333768,1.8198161440388423
2.96049,1.5860122265548189,0.6553475151408071
-0.017463,0.0007902448839316866,0.08427373586174745
0.0,0.0,0.0
0.000242106,0.01681315890515683,0.014956965083991428
0.0002583,-9.750113262178494e-06,0.0016251849628251128
6.32439e-06,8.651106798293742e-05,9.06974830047118e-05
3.88832e-08,-3.918533924128578e-09,4.633066764075181e-07
-1.59499e-05,-0.00037094527910429417,0.0004479412102849797
0.0.1,0.0,0.0
0.0002583.1,-9.897753621018206e-06,0.0016251995080888548
0.0427088,0.03248112421136421,0.034475243334694275
6.83469e-06,1.4857973706516988e-08,9.376032881800208e-06
-2.88418e-05,-3.885164509513653e-05,2.703761793646659e-05
-2.0613e-05,1.9018675756151098e-07,3.3792961896890655e-05
0.0.2,0.0,0.0
6.32361e-06,8.65113960764803e-05,9.069698474515323e-05
6.83419e-06,1.5121012567224733e-08,9.376339083407238e-06
8.49724e-07,6.756290495425137e-07,7.44588305426374e-07
1.37125e-09,-2.70736931217233e-11,2.634553291404334e-09
-8.24331e-06,-3.2238100435420694e-06,4.913078078833983e-06
0.0.3,0.0,0.0
3.88849e-08,-3.921481392066855e-09,4.632047947863178e-07
-2.88271e-05,-3.885187484375694e-05,2.7037445517753767e-05
1.37171e-09,-2.729832103572174e-11,2.631404239349641e-09
2.02563e-08,8.84719740834496e-08,4.0130809606933325e-08
5.29514e-10,-3.717046846232119e-11,1.0596748086247389e-08
0.0.4,0.0,0.0
-1.59499e-05.1,-0.00037095600899131017,0.00044800042181369974
-2.0613e-05.1,1.8745490396107804e-07,3.378956476506542e-05
-8.24331e-06.1,-3.2239191660722786e-06,4.914170690482722e-06
5.29514e-10.1,-3.38530683879087e-11,1.060158026081665e-08
9.98104e-05,2.2613188928043828e-05,4.967779393531619e-05
0.0.5,0.0,0.0
0.0.6,0.0,0.0
0.0.7,0.0,0.0
0.0.8,0.0,0.0
0.0.9,0.0,0.0
0.0.10,0.0,0.0
89875.5,36553984.29879325,44094636.47565033
1.0,1.0,0.0
0.0.11,0.0,0.0
0.0.12,0.0,0.0
0.0.13,0.0,0.0
0.0.14,0.0,0.0
0.0.15,0.0,0.0
0.0.16,0.0,0.0
1.0.1,1.0,0.0
0.0.17,0.0,0.0
0.0.18,0.0,0.0
0.0.19,0.0,0.0
0.0.20,0.0,0.0
0.000545724,0.0029031536454124517,0.0022039837298526944
0.0.21,0.0,0.0
0.0.22,0.0,0.0
0.0412792,0.11846698562478201,0.013205555879624114
0.306608,0.7847967105895785,0.18158460101440135
0.00213248,3.503319547685612e-06,0.001355375164073187
0.161303,0.00015821170104333835,0.053338230526504986
0.508015,0.1858999841631648,0.1469597441469363
0.00800801,0.004327140210396118,0.003188292918733558
5.6743e-05,3.005942436128532e-07,1.645677711221411e-05
0.000162052,1.6662610673115745e-07,5.5037855271693327e-05
-0.000343727,-0.00027755403346341694,0.00039108406621051286
-0.0201852,-0.01979311208663696,0.02383634903233787
-0.00018335,-3.678487184622915e-08,3.486065095435972e-05
0.0.23,0.0,0.0
0.0.24,0.0,0.0
